Common Name,Domain,Kingdom,Phylum,Class,Family,Genus,Subgenus,Species
"Red Fox","Eukarya","Animalia","Chordata","Mammalia","Canidae","Vulpes","Vulpes","Vulpes vulpes"
"African Elephant","Eukarya","Animalia","Chordata","Mammalia","Elephantidae","Loxodonta","Loxodonta","Loxodonta africana"
"Monarch Butterfly","Eukarya","Animalia","Arthropoda","Insecta","Nymphalidae","Danaus","Danaus","Danaus plexippus"
"Great White Shark","Eukarya","Animalia","Chordata","Chondrichthyes","Lamnidae","Carcharodon","Carcharodon","Carcharodon carcharias"
"Oak Tree","Eukarya","Plantae","Tracheophyta","Angiosperms","Fagaceae","Quercus","Quercus","Quercus robur"
Common Name,Domain,Kingdom,Phylum,Class,Family,Genus,Subgenus,Species
"Giant Panda","Eukarya","Animalia","Chordata","Mammalia","Ursidae","Ailuropoda","Ailuropoda","Ailuropoda melanoleuca"
"Bald Eagle","Eukarya","Animalia","Chordata","Aves","Accipitridae","Haliaeetus","Haliaeetus","Haliaeetus leucocephalus"
"Emperor Penguin","Eukarya","Animalia","Chordata","Aves","Spheniscidae","Aptenodytes","Aptenodytes","Aptenodytes forsteri"
"Blue Whale","Eukarya","Animalia","Chordata","Mammalia","Balaenopteridae","Balaenoptera","Balaenoptera","Balaenoptera musculus"
"Cheetah","Eukarya","Animalia","Chordata","Mammalia","Felidae","Acinonyx","Acinonyx","Acinonyx jubatus"
"Northern Cardinal","Eukarya","Animalia","Chordata","Aves","Cardinalidae","Cardinalis","Cardinalis","Cardinalis cardinalis"
"Koala","Eukarya","Animalia","Chordata","Mammalia","Phascolarctidae","Phascolarctos","Phascolarctos","Phascolarctos cinereus"
"Golden Retriever","Eukarya","Animalia","Chordata","Mammalia","Canidae","Canis","Canis","Canis lupus familiaris"
"Siberian Tiger","Eukarya","Animalia","Chordata","Mammalia","Felidae","Panthera","Panthera","Panthera tigris altaica"
"Common Clownfish","Eukarya","Animalia","Chordata","Actinopterygii","Pomacentridae","Amphiprion","Amphiprion","Amphiprion ocellaris"
"Snow Leopard","Eukarya","Animalia","Chordata","Mammalia","Felidae","Panthera","Panthera","Panthera uncia"
"American Alligator","Eukarya","Animalia","Chordata","Reptilia","Alligatoridae","Alligator","Alligator","Alligator mississippiensis"
"Red Kangaroo","Eukarya","Animalia","Chordata","Mammalia","Macropodidae","Macropus","Macropus","Macropus rufus"
"Atlantic Puffin","Eukarya","Animalia","Chordata","Aves","Alcidae","Fratercula","Fratercula","Fratercula arctica"
"Common Dolphin","Eukarya","Animalia","Chordata","Mammalia","Delphinidae","Delphinus","Delphinus","Delphinus delphis"
"Giraffe","Eukarya","Animalia","Chordata","Mammalia","Giraffidae","Giraffa","Giraffa","Giraffa camelopardalis"
"Hippopotamus","Eukarya","Animalia","Chordata","Mammalia","Hippopotamidae","Hippopotamus","Hippopotamus","Hippopotamus amphibius"
"Blue Jay","Eukarya","Animalia","Chordata","Aves","Corvidae","Cyanocitta","Cyanocitta","Cyanocitta cristata"
"Brown Bear","Eukarya","Animalia","Chordata","Mammalia","Ursidae","Ursus","Ursus","Ursus arctos"
"Green Sea Turtle","Eukarya","Animalia","Chordata","Reptilia","Cheloniidae","Chelonia","Chelonia","Chelonia mydas"
"King Cobra","Eukarya","Animalia","Chordata","Reptilia","Elapidae","Ophiophagus","Ophiophagus","Ophiophagus hannah"
"American Bison","Eukarya","Animalia","Chordata","Mammalia","Bovidae","Bison","Bison","Bison bison"
"Scarlet Macaw","Eukarya","Animalia","Chordata","Aves","Psittacidae","Ara","Ara","Ara macao"
"African Lion","Eukarya","Animalia","Chordata","Mammalia","Felidae","Panthera","Panthera","Panthera leo"
"Grey Wolf","Eukarya","Animalia","Chordata","Mammalia","Canidae","Canis","Canis","Canis lupus"
"Chimpanzee","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Pan","Pan","Pan troglodytes"
"Mountain Gorilla","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Gorilla","Gorilla","Gorilla beringei beringei"
"Arctic Fox","Eukarya","Animalia","Chordata","Mammalia","Canidae","Vulpes","Vulpes","Vulpes lagopus"
"Great Horned Owl","Eukarya","Animalia","Chordata","Aves","Strigidae","Bubo","Bubo","Bubo virginianus"
"Komodo Dragon","Eukarya","Animalia","Chordata","Reptilia","Varanidae","Varanus","Varanus","Varanus komodoensis"
"Red Panda","Eukarya","Animalia","Chordata","Mammalia","Ailuridae","Ailurus","Ailurus","Ailurus fulgens"
"Polar Bear","Eukarya","Animalia","Chordata","Mammalia","Ursidae","Ursus","Ursus","Ursus maritimus"
"Western Lowland Gorilla","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Gorilla","Gorilla","Gorilla gorilla gorilla"
"Ring-tailed Lemur","Eukarya","Animalia","Chordata","Mammalia","Lemuridae","Lemur","Lemur","Lemur catta"
"American Robin","Eukarya","Animalia","Chordata","Aves","Turdidae","Turdus","Turdus","Turdus migratorius"
"Asian Elephant","Eukarya","Animalia","Chordata","Mammalia","Elephantidae","Elephas","Elephas","Elephas maximus"
"Blue Poison Dart Frog","Eukarya","Animalia","Chordata","Amphibia","Dendrobatidae","Dendrobates","Dendrobates","Dendrobates tinctorius"
"California Sea Lion","Eukarya","Animalia","Chordata","Mammalia","Otariidae","Zalophus","Zalophus","Zalophus californianus"
"Snowy Owl","Eukarya","Animalia","Chordata","Aves","Strigidae","Bubo","Bubo","Bubo scandiacus"
"Giant Anteater","Eukarya","Animalia","Chordata","Mammalia","Myrmecophagidae","Myrmecophaga","Myrmecophaga","Myrmecophaga tridactyla"
"Platypus","Eukarya","Animalia","Chordata","Mammalia","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus","Ornithorhynchus anatinus"
"Harpy Eagle","Eukarya","Animalia","Chordata","Aves","Accipitridae","Harpia","Harpia","Harpia harpyja"
"Atlantic Bluefin Tuna","Eukarya","Animalia","Chordata","Actinopterygii","Scombridae","Thunnus","Thunnus","Thunnus thynnus"
"Bornean Orangutan","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Pongo","Pongo","Pongo pygmaeus"
"Grizzly Bear","Eukarya","Animalia","Chordata","Mammalia","Ursidae","Ursus","Ursus","Ursus arctos horribilis"
"Great White Pelican","Eukarya","Animalia","Chordata","Aves","Pelecanidae","Pelecanus","Pelecanus","Pelecanus onocrotalus"
"Jaguar","Eukarya","Animalia","Chordata","Mammalia","Felidae","Panthera","Panthera","Panthera onca"
"Indian Peafowl","Eukarya","Animalia","Chordata","Aves","Phasianidae","Pavo","Pavo","Pavo cristatus"
"Green Iguana","Eukarya","Animalia","Chordata","Reptilia","Iguanidae","Iguana","Iguana","Iguana iguana"
"Common Bottlenose Dolphin","Eukarya","Animalia","Chordata","Mammalia","Delphinidae","Tursiops","Tursiops","Tursiops truncatus"
"European Hedgehog","Eukarya","Animalia","Chordata","Mammalia","Erinaceidae","Erinaceus","Erinaceus","Erinaceus europaeus"
"Emperor Dragonfly","Eukarya","Animalia","Arthropoda","Insecta","Aeshnidae","Anax","Anax","Anax imperator"
Common Name,Domain,Kingdom,Phylum,Class,Family,Genus,Subgenus,Species
"Giant River Otter","Eukarya","Animalia","Chordata","Mammalia","Mustelidae","Pteronura","Pteronura","Pteronura brasiliensis"
"Barn Owl","Eukarya","Animalia","Chordata","Aves","Tytonidae","Tyto","Tyto","Tyto alba"
"African Grey Parrot","Eukarya","Animalia","Chordata","Aves","Psittacidae","Psittacus","Psittacus","Psittacus erithacus"
"Loggerhead Sea Turtle","Eukarya","Animalia","Chordata","Reptilia","Cheloniidae","Caretta","Caretta","Caretta caretta"
"Great Grey Owl","Eukarya","Animalia","Chordata","Aves","Strigidae","Strix","Strix","Strix nebulosa"
"African Wild Dog","Eukarya","Animalia","Chordata","Mammalia","Canidae","Lycaon","Lycaon","Lycaon pictus"
"Asian Small-clawed Otter","Eukarya","Animalia","Chordata","Mammalia","Mustelidae","Aonyx","Aonyx","Aonyx cinereus"
"Mandrill","Eukarya","Animalia","Chordata","Mammalia","Cercopithecidae","Mandrillus","Mandrillus","Mandrillus sphinx"
"California Condor","Eukarya","Animalia","Chordata","Aves","Cathartidae","Gymnogyps","Gymnogyps","Gymnogyps californianus"
"Snowshoe Hare","Eukarya","Animalia","Chordata","Mammalia","Leporidae","Lepus","Lepus","Lepus americanus"
"Spectacled Bear","Eukarya","Animalia","Chordata","Mammalia","Ursidae","Tremarctos","Tremarctos","Tremarctos ornatus"
"Rainbow Lorikeet","Eukarya","Animalia","Chordata","Aves","Psittaculidae","Trichoglossus","Trichoglossus","Trichoglossus moluccanus"
"Gila Monster","Eukarya","Animalia","Chordata","Reptilia","Helodermatidae","Heloderma","Heloderma","Heloderma suspectum"
"Okapi","Eukarya","Animalia","Chordata","Mammalia","Giraffidae","Okapia","Okapia","Okapia johnstoni"
"Red-Eyed Tree Frog","Eukarya","Animalia","Chordata","Amphibia","Hylidae","Agalychnis","Agalychnis","Agalychnis callidryas"
"Golden Poison Frog","Eukarya","Animalia","Chordata","Amphibia","Dendrobatidae","Phyllobates","Phyllobates","Phyllobates terribilis"
"Clouded Leopard","Eukarya","Animalia","Chordata","Mammalia","Felidae","Neofelis","Neofelis","Neofelis nebulosa"
"Indian Rhino","Eukarya","Animalia","Chordata","Mammalia","Rhinocerotidae","Rhinoceros","Rhinoceros","Rhinoceros unicornis"
"Pygmy Hippo","Eukarya","Animalia","Chordata","Mammalia","Hippopotamidae","Choeropsis","Choeropsis","Choeropsis liberiensis"
"Przewalski's Horse","Eukarya","Animalia","Chordata","Mammalia","Equidae","Equus","Equus","Equus ferus przewalskii"
"Asian Golden Cat","Eukarya","Animalia","Chordata","Mammalia","Felidae","Catopuma","Catopuma","Catopuma temminckii"
"Saltwater Crocodile","Eukarya","Animalia","Chordata","Reptilia","Crocodylidae","Crocodylus","Crocodylus","Crocodylus porosus"
"Peregrine Falcon","Eukarya","Animalia","Chordata","Aves","Falconidae","Falco","Falco","Falco peregrinus"
"Mexican Axolotl","Eukarya","Animalia","Chordata","Amphibia","Ambystomatidae","Ambystoma","Ambystoma","Ambystoma mexicanum"
"Eastern Chipmunk","Eukarya","Animalia","Chordata","Mammalia","Sciuridae","Tamias","Tamias","Tamias striatus"
"West Indian Manatee","Eukarya","Animalia","Chordata","Mammalia","Trichechidae","Trichechus","Trichechus","Trichechus manatus"
"Mandarin Duck","Eukarya","Animalia","Chordata","Aves","Anatidae","Aix","Aix","Aix galericulata"
"Javan Rhinoceros","Eukarya","Animalia","Chordata","Mammalia","Rhinocerotidae","Rhinoceros","Rhinoceros","Rhinoceros sondaicus"
"Red-crowned Crane","Eukarya","Animalia","Chordata","Aves","Gruidae","Grus","Grus","Grus japonensis"
"Indian Pangolin","Eukarya","Animalia","Chordata","Mammalia","Manidae","Manis","Manis","Manis crassicaudata"
"Spotted Hyena","Eukarya","Animalia","Chordata","Mammalia","Hyaenidae","Crocuta","Crocuta","Crocuta crocuta"
"Eastern Lowland Gorilla","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Gorilla","Gorilla","Gorilla beringei graueri"
"Fin Whale","Eukarya","Animalia","Chordata","Mammalia","Balaenopteridae","Balaenoptera","Balaenoptera","Balaenoptera physalus"
"Resplendent Quetzal","Eukarya","Animalia","Chordata","Aves","Trogonidae","Pharomachrus","Pharomachrus","Pharomachrus mocinno"
"Sumatran Orangutan","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Pongo","Pongo","Pongo abelii"
"Common Wombat","Eukarya","Animalia","Chordata","Mammalia","Vombatidae","Vombatus","Vombatus","Vombatus ursinus"
"Desert Tortoise","Eukarya","Animalia","Chordata","Reptilia","Testudinidae","Gopherus","Gopherus","Gopherus agassizii"
"Yellow-Footed Rock Wallaby","Eukarya","Animalia","Chordata","Mammalia","Macropodidae","Petrogale","Petrogale","Petrogale xanthopus"
"Bactrian Camel","Eukarya","Animalia","Chordata","Mammalia","Camelidae","Camelus","Camelus","Camelus bactrianus"
"King Penguin","Eukarya","Animalia","Chordata","Aves","Spheniscidae","Aptenodytes","Aptenodytes","Aptenodytes patagonicus"
"California Condor","Eukarya","Animalia","Chordata","Aves","Cathartidae","Gymnogyps","Gymnogyps","Gymnogyps californianus"
"Saola","Eukarya","Animalia","Chordata","Mammalia","Bovidae","Pseudoryx","Pseudoryx","Pseudoryx nghetinhensis"
"Tiger Quoll","Eukarya","Animalia","Chordata","Mammalia","Dasyuridae","Dasyurus","Dasyurus","Dasyurus maculatus"
"Sumatran Rhinoceros","Eukarya","Animalia","Chordata","Mammalia","Rhinocerotidae","Dicerorhinus","Dicerorhinus","Dicerorhinus sumatrensis"
"Indri","Eukarya","Animalia","Chordata","Mammalia","Indriidae","Indri","Indri","Indri indri"
"Green Anaconda","Eukarya","Animalia","Chordata","Reptilia","Boidae","Eunectes","Eunectes","Eunectes murinus"
"Mandrill","Eukarya","Animalia","Chordata","Mammalia","Cercopithecidae","Mandrillus","Mandrillus","Mandrillus sphinx"
"Proboscis Monkey","Eukarya","Animalia","Chordata","Mammalia","Cercopithecidae","Nasalis","Nasalis","Nasalis larvatus"
"Japanese Macaque","Eukarya","Animalia","Chordata","Mammalia","Cercopithecidae","Macaca","Macaca","Macaca fuscata"
"Red-shanked Douc","Eukarya","Animalia","Chordata","Mammalia","Cercopithecidae","Pygathrix","Pygathrix","Pygathrix nemaeus"
"Caracal","Eukarya","Animalia","Chordata","Mammalia","Felidae","Caracal","Caracal","Caracal caracal"